40
4,46656379125386 -2,28642462859229
-0,130169121609146 5,5025595917844
-14,9958058982137 13,114888534469
13,0887144958082 0,798148950933548
16,5226681514283 -0,28763241147978
11,4267162752462 -4,84096816966355
6,04420476874532 5,7462356918241
-7,7594940493626 -15,3233999923446
-18,1703177830997 14,5461099941964
12,8440362554249 3,77995918680912
11,5605590266923 8,17504476205215
-11,7685388549084 1,2391720624823
5,249986474053 1,78095013917468
-10,2104327782106 -17,1022443459845
11,6396987958065 -2,18497711335541
-6,89861881867918 8,6857044457857
13,4092665991789 -8,30470438502017
2,97302768704157 -3,27576586197864
16,8214151993494 5,60865924954818
-4,81610787325357 8,1533448715477
-17,5597360532543 -14,9165771132878
18,7393830897004 -7,37022222362935
-10,0022257817919 0,855283113594766
5,46971378171337 10,7481632152331
-2,26358578645791 -6,10130037465193
-5,11482998035607 -6,93419060992738
13,3570593378307 -4,08924487609847
3,3064025562752 16,2915190292017
-10,5178857736838 18,6306588159086
-19,7474268822686 3,22324396261165
3,32532131267959 10,1909588417928
9,15845015512707 -1,29235473521629
-13,3890135928006 -17,2589881705395
1,74976523115754 -5,65109084623451
-17,2267919952175 15,516271812616
-12,144815191694 -3,77897703264792
-0,637782132550043 -15,3093086161228
1,33969524006345 6,47713613998011
9,43566167235172 15,6016833687209
-8,75860215572575 -15,6052966395418
