40
2,8930304957987 2,5149544368102
6,62444316159209 3,07432473594059
5,76753362350517 3,94506091342543
3,50705650332712 4,97481517818515
9,52000474534929 2,94654977877929
5,46614950311657 6,98958521801493
8,33388122652372 3,45780658137882
4,17360260345675 6,35244952903709
7,88695084298353 1,95384626973134
2,19830262111421 5,94253149579397
9,53310642835363 6,26956060541308
9,20211606156179 5,05114616176633
2,94557390406056 0,475895066035863
4,33083940033374 1,21309484318509
2,75492892263221 3,14287608030386
0,837846985476952 5,16399105319939
1,87801759311837 6,07587539221899
0,0843977742290114 4,93365048707167
7,82988326057321 2,71683138782011
7,91465592939158 4,29297733460226
2,00911065657116 3,87394855025874
4,87458875164138 5,72294216729838
0,689082485944537 2,53280447494835
8,16847446289308 0,518433540835247
1,8443300117945 2,58279377062935
1,75213325384638 3,98084089950698
7,12402092158982 0,0663399305503536
5,3263557121746 2,75556074164601
4,39067599102421 6,58596405134814
1,44631857585456 3,56137847041775
1,30496190455973 1,2418447091439
4,35194990334657 3,52112724144064
3,37150984135061 5,6623135989822
8,10710414690296 6,75784146634761
4,85532591345502 4,98787133534805
1,24504463805121 2,80403420226836
4,87655302736748 4,24583450017769
6,48022005170594 2,7992259495888
4,08192639894873 0,718539075794881
6,52684060229307 6,52909725789404
